Type,Alcohol_Content,Color_Intensity
1,14.23,5.64
1,13.2,4.38
1,13.16,5.68
1,14.37,7.8
1,13.24,4.32
1,14.2,6.75
1,14.39,5.25
1,14.06,5.05
1,14.83,5.2
1,13.86,7.22
1,14.1,5.75
1,14.12,5
1,13.75,5.6
1,14.75,5.4
1,14.38,7.5
1,13.63,7.3
1,14.3,6.2
1,13.83,6.6
1,14.19,8.7
1,13.64,5.1
1,14.06,5.65
1,12.93,4.5
1,13.71,3.8
1,12.85,3.93
1,13.5,3.52
1,13.05,3.58
1,13.39,4.8
1,13.3,3.95
1,13.87,4.5
1,14.02,4.7
1,13.73,5.7
1,13.58,6.9
1,13.68,3.84
1,13.76,5.4
1,13.51,4.2
1,13.48,5.1
1,13.28,4.6
1,13.05,4.25
1,13.07,3.7
1,14.22,5.1
1,13.56,6.13
1,13.41,4.28
1,13.88,5.43
1,13.24,4.36
1,13.05,5.04
1,14.21,5.24
1,14.38,4.9
1,13.9,6.1
1,14.1,6.2
1,13.94,8.9
1,13.05,7.2
1,13.83,5.6
1,13.82,7.05
1,13.77,6.3
1,13.74,5.85
1,13.56,6.25
1,14.22,6.38
1,13.29,6
1,13.72,6.8
2,12.37,1.95
2,12.33,3.27
2,12.64,5.75
2,13.67,3.8
2,12.37,4.45
2,12.17,2.95
2,12.37,4.6
2,13.11,5.3
2,12.37,4.68
2,13.34,3.17
2,12.21,2.85
2,12.29,3.05
2,13.86,3.38
2,13.49,3.74
2,12.99,3.35
2,11.96,3.21
2,11.66,3.8
2,13.03,4.6
2,11.84,2.65
2,12.33,3.4
2,12.7,2.57
2,12,2.5
2,12.72,3.9
2,12.08,2.2
2,13.05,4.8
2,11.84,3.05
2,12.67,2.62
2,12.16,2.45
2,11.65,2.6
2,11.64,2.8
2,12.08,1.74
2,12.08,2.4
2,12,3.6
2,12.69,3.05
2,12.29,2.15
2,11.62,3.25
2,12.47,2.6
2,11.81,2.5
2,12.29,2.9
2,12.37,4.5
2,12.29,2.3
2,12.08,3.3
2,12.6,2.45
2,12.34,2.8
2,11.82,2.06
2,12.51,2.94
2,12.42,2.7
2,12.25,3.4
2,12.72,3.3
2,12.22,2.7
2,11.61,2.65
2,11.46,2.9
2,12.52,2
2,11.76,3.8
2,11.41,3.08
2,12.08,2.9
2,11.03,1.9
2,11.82,1.95
2,12.42,2.06
2,12.77,3.4
2,12,1.28
2,11.45,3.25
2,11.56,6
2,12.42,2.08
2,13.05,2.6
2,11.87,2.8
2,12.07,2.76
2,12.43,3.94
2,11.79,3
2,12.37,2.12
2,12.04,2.6
3,12.86,4.1
3,12.88,5.4
3,12.81,5.7
3,12.7,5
3,12.51,5.45
3,12.6,7.1
3,12.25,3.85
3,12.53,5
3,13.49,5.7
3,12.84,4.92
3,12.93,4.6
3,13.36,5.6
3,13.52,4.35
3,13.62,4.4
3,12.25,8.21
3,13.16,4
3,13.88,4.9
3,12.87,7.65
3,13.32,8.42
3,13.08,9.4
3,13.5,8.6
3,12.79,10.8
3,13.11,7.1
3,13.23,10.52
3,12.58,7.6
3,13.17,7.9
3,13.84,9.01
3,12.45,7.5
3,14.34,13
3,13.48,11.75
3,12.36,7.65
3,13.69,5.88
3,12.85,5.58
3,12.96,5.28
3,13.78,9.58
3,13.73,6.62
3,13.45,10.68
3,12.82,10.26
3,13.58,8.66
3,13.4,8.5
3,12.2,5.5
3,12.77,9.9
3,14.16,9.7
3,13.71,7.7
3,13.4,7.3
3,13.27,10.2
3,13.17,9.3
3,14.13,9.2
